est_year,season,season_total_tows,stratum,strat_ntows,s_area_km2,tot_s_area,st_ratio,strata_effort_ratio
1970,Fall,244,1760,2,248.86799090870173,192584.87305436592,0.00129225097984953,0.00819672131147541
1970,Fall,244,1670,2,350.7581653224312,192584.87305436592,0.00182131732238083,0.00819672131147541
1970,Fall,244,1070,3,1533.6458913241406,192584.87305436592,0.00796348055275971,0.012295081967213115
1970,Fall,244,1050,5,4483.908829263997,192584.87305436592,0.02328276753075101,0.020491803278688523
1970,Fall,244,1090,7,4702.238864788697,192584.87305436592,0.02441644969416302,0.028688524590163935
1970,Fall,244,1060,8,8410.276953246941,192584.87305436592,0.04367049612911578,0.03278688524590164
1970,Fall,244,1010,9,7723.889064379528,192584.87305436592,0.0401064161576133,0.036885245901639344
1970,Fall,244,1020,7,6518.071891152992,192584.87305436592,0.03384519140977894,0.028688524590163935
1970,Fall,244,1030,3,1776.9970479578838,192584.87305436592,0.00922708528336098,0.012295081967213115
1970,Fall,244,1040,3,605.6240112028632,192584.87305436592,0.00314471225905628,0.012295081967213115
1970,Fall,244,1100,9,8378.917445478692,192584.87305436592,0.04350766138892621,0.036885245901639344
1970,Fall,244,1130,7,7372.637785559344,192584.87305436592,0.0382825383355944,0.028688524590163935
1970,Fall,244,1230,6,3003.9650892095224,192584.87305436592,0.01559813624801941,0.02459016393442623
1970,Fall,244,1190,9,7494.383130961584,192584.87305436592,0.03891470296758952,0.036885245901639344
1970,Fall,244,1160,8,9006.472041448285,192584.87305436592,0.04676624855632246,0.03278688524590164
1970,Fall,244,1200,6,3618.138360428088,192584.87305436592,0.01878724067495531,0.02459016393442623
1970,Fall,244,1250,2,1165.474643283182,192584.87305436592,0.00605174552289043,0.00819672131147541
1970,Fall,244,1260,5,2979.523678517098,192584.87305436592,0.01547122383633937,0.020491803278688523
1970,Fall,244,1240,8,7701.4025516095,192584.87305436592,0.03998965458432151,0.03278688524590164
1970,Fall,244,1280,7,6860.985346457175,192584.87305436592,0.03562577495128782,0.028688524590163935
1970,Fall,244,1290,8,12064.449983675357,192584.87305436592,0.06264484739811113,0.03278688524590164
1970,Fall,244,1300,2,1909.8640235337175,192584.87305436592,0.00991699915597509,0.00819672131147541
1970,Fall,244,1360,9,12057.82569997672,192584.87305436592,0.06261045070021073,0.036885245901639344
1970,Fall,244,1340,5,5287.921316968236,192584.87305436592,0.02745761509251808,0.020491803278688523
1970,Fall,244,1390,3,2231.476128551431,192584.87305436592,0.01158697509913717,0.012295081967213115
1970,Fall,244,1380,6,7458.4488929324125,192584.87305436592,0.03872811386814853,0.02459016393442623
1970,Fall,244,1370,5,6146.956814132192,192584.87305436592,0.03191817050136088,0.020491803278688523
1970,Fall,244,1400,3,1728.8890290150089,192584.87305436592,0.00897728363393811,0.012295081967213115
1970,Fall,244,1270,4,2181.073574696574,192584.87305436592,0.01132525904088461,0.01639344262295082
1970,Fall,244,1610,3,3997.150928552066,192584.87305436592,0.0207552694308638,0.012295081967213115
1970,Fall,244,1650,9,8530.968559063047,192584.87305436592,0.04429718920163989,0.036885245901639344
1970,Fall,244,1170,4,1053.1222074485618,192584.87305436592,0.00546835372241967,0.01639344262295082
1970,Fall,244,1220,4,1411.0086266014423,192584.87305436592,0.00732668461558307,0.01639344262295082
1970,Fall,244,1210,4,1411.7989605917703,192584.87305436592,0.00733078843733082,0.01639344262295082
1970,Fall,244,1660,3,1641.1866977479858,192584.87305436592,0.00852188789139573,0.012295081967213115
1970,Fall,244,1690,8,7163.6818501301495,192584.87305436592,0.03719753133522523,0.03278688524590164
1970,Fall,244,1730,7,6046.335136527294,192584.87305436592,0.03139569084857686,0.028688524590163935
1970,Fall,244,1110,3,1822.125897944325,192584.87305436592,0.00946141755084755,0.012295081967213115
1970,Fall,244,1140,4,2032.043798384957,192584.87305436592,0.01055141956975675,0.01639344262295082
1970,Fall,244,1150,4,768.2601842240604,192584.87305436592,0.00398920316034989,0.01639344262295082
1970,Fall,244,1180,3,614.6025490825617,192584.87305436592,0.0031913334590358,0.012295081967213115
1970,Fall,244,1710,2,893.2035013330817,192584.87305436592,0.00463797331102393,0.00819672131147541
1970,Fall,244,1640,2,283.27763242603834,192584.87305436592,0.00147092358778391,0.00819672131147541
1970,Fall,244,1720,2,359.97545219146457,192584.87305436592,0.00186917823026445,0.00819672131147541
1970,Fall,244,1080,3,726.0025816898356,192584.87305436592,0.00376977989068169,0.012295081967213115
1970,Fall,244,1740,5,3499.995357137849,192584.87305436592,0.01817378126136529,0.020491803278688523
1970,Fall,244,1700,4,2999.3655567462374,192584.87305436592,0.01557425310293986,0.01639344262295082
1970,Fall,244,1680,2,233.75593826742303,192584.87305436592,0.00121378140743917,0.00819672131147541
1970,Fall,244,1630,2,300.6155592255061,192584.87305436592,0.00156095104697368,0.00819672131147541
